Session ID,User ID,Dish Name,Meal Type,Session Start,Session End,Duration (mins),Session Rating
S001,U001,Spaghetti,Dinner,2024-12-01 19:00,2024-12-01 19:30,30,4.5
S002,U002,Caesar Salad,Lunch,2024-12-01 12:00,2024-12-01 12:20,20,4
S003,U003,Grilled Chicken,Dinner,2024-12-02 19:30,2024-12-02 20:10,40,4.8
S004,U001,Pancakes,Breakfast,2024-12-02 07:30,2024-12-02 08:00,30,4.2
S005,U004,Caesar Salad,Lunch,2024-12-03 13:00,2024-12-03 13:15,15,4.7
S006,U002,Spaghetti,Dinner,2024-12-03 18:30,2024-12-03 19:00,30,4.3
S007,U005,Grilled Chicken,Dinner,2024-12-04 18:00,2024-12-04 18:45,45,4.6
S008,U003,Veggie Burger,Lunch,2024-12-04 13:30,2024-12-04 13:50,20,4.4
S009,U001,Grilled Chicken,Dinner,2024-12-05 19:00,2024-12-05 19:40,40,4.9
S010,U002,Oatmeal,Breakfast,2024-12-05 07:00,2024-12-05 07:10,10,4.1
S011,U003,Pancakes,Breakfast,2024-12-06 08:00,2024-12-06 08:30,30,4.6
S012,U004,Spaghetti,Dinner,2024-12-06 19:00,2024-12-06 19:40,40,4.7
S013,U005,Caesar Salad,Lunch,2024-12-07 12:30,2024-12-07 13:00,30,4.4
S014,U006,Grilled Chicken,Dinner,2024-12-07 18:00,2024-12-07 18:45,45,4.8
S015,U007,Spaghetti,Dinner,2024-12-08 19:30,2024-12-08 20:10,40,5
S016,U008,Veggie Burger,Lunch,2024-12-08 13:30,2024-12-08 13:50,20,4.3
